area,bedrooms,bathrooms,location,year_built,price
2201,2.0,,Springfield,1986,542938.1572994303
2653,5.0,3.0,Greenville,1966,755505.9992133043
2790,3.0,2.0,Shelbyville,1962,507580.2055462692
792,3.0,1.0,Greenville,2013,485128.7387325844
3004,4.0,1.0,Shelbyville,1980,574243.7031430748
1278,4.0,2.0,Shelbyville,1995,463940.75786659744
3870,1.0,2.0,Greenville,1991,927944.7683034433
3605,2.0,3.0,Springfield,2005,659064.0779286064
4659,1.0,1.0,Riverside,2006,887169.5824946801
3876,4.0,3.0,Riverside,1975,797149.7194110828
2213,1.0,2.0,Greenville,2013,675156.2338815127
4857,2.0,3.0,Greenville,1980,1114718.4761820685
2407,3.0,1.0,Greenville,2012,724036.1187065431
2033,4.0,1.0,Springfield,1982,562476.3711708921
4584,3.0,1.0,Riverside,1962,966865.5950955008
2230,5.0,2.0,Hill Valley,2007,706788.3472993167
935,5.0,3.0,Springfield,1957,365059.18997569435
2666,1.0,1.0,,2008,665608.4474147677
4100,5.0,2.0,Shelbyville,1957,752560.8068552573
1433,4.0,1.0,Springfield,1969,461541.74710470834
2636,4.0,3.0,Greenville,1996,837654.3924792435
1171,1.0,3.0,Riverside,2019,431795.1571061688
3620,4.0,3.0,Springfield,1983,805262.6615855541
2693,4.0,3.0,Greenville,1963,773697.167405744
2052,3.0,2.0,Greenville,1971,695996.6878160257
1598,1.0,3.0,Springfield,2016,412589.56916759943
3083,3.0,1.0,Springfield,2005,620552.0593818985
3547,5.0,3.0,Springfield,1961,789831.0594017601
4737,4.0,3.0,Hill Valley,1981,1062423.0053099745
2523,1.0,3.0,Shelbyville,1973,534827.6781539839
1307,5.0,2.0,Springfield,1967,473348.6616615774
4263,5.0,3.0,Riverside,2013,965771.2553199949
3370,1.0,2.0,Riverside,1997,793615.5097479806
3681,5.0,1.0,Riverside,1967,835640.235260443
1027,3.0,3.0,,1999,420157.8567730959
1974,3.0,1.0,Springfield,1983,481382.79724144883
3978,3.0,1.0,Greenville,1959,980815.7518610508
4261,4.0,2.0,Riverside,1986,938355.2731908752
2514,5.0,1.0,Riverside,1967,632348.2524929368
4140,4.0,3.0,Riverside,1971,893069.724417754
4303,5.0,2.0,Shelbyville,2015,766878.3595239326
2304,5.0,1.0,Hill Valley,2004,698685.9121765733
4551,1.0,3.0,Greenville,1964,1004932.5923419534
1868,2.0,2.0,Riverside,2013,548768.8667564157
1654,4.0,1.0,Shelbyville,1994,431631.6854422142
3602,3.0,3.0,Shelbyville,2015,706365.9977928576
3401,1.0,2.0,Springfield,2006,687343.6393297074
1214,1.0,1.0,Shelbyville,1978,339515.68625733553
4264,3.0,3.0,Hill Valley,1991,974038.8061238781
1479,4.0,2.0,Springfield,1991,483877.7293611734
4141,1.0,3.0,Hill Valley,2004,912702.7467763327
632,1.0,3.0,Springfield,1972,293085.0375349768
4106,1.0,2.0,Springfield,1977,706413.3637322285
4062,3.0,3.0,Springfield,1971,755595.6050808562
4033,,1.0,Greenville,1975,909375.7860062319
3525,,1.0,Hill Valley,1966,844561.7867718863
2674,3.0,2.0,Greenville,1957,788631.4702135113
3702,3.0,3.0,Springfield,2019,705427.0509760528
1819,4.0,2.0,Springfield,1960,507283.861336481
4035,3.0,2.0,Shelbyville,2016,712701.9261420099
3044,4.0,3.0,Shelbyville,1955,623085.2605661041
2619,4.0,3.0,Hill Valley,2008,764311.8369568924
2824,5.0,3.0,Springfield,1977,621172.0216020511
3102,4.0,1.0,Shelbyville,1990,573098.321034285
763,3.0,3.0,Hill Valley,1974,453882.7072675492
1215,3.0,2.0,Greenville,1988,578113.4275923653
1680,2.0,2.0,Springfield,1986,399124.3788687099
1103,3.0,2.0,Shelbyville,1991,395901.7973940474
2534,1.0,1.0,Greenville,1982,743278.6601586293
3540,5.0,,Springfield,1992,728859.2237138136
3479,5.0,2.0,Riverside,2011,862766.0748807932
2672,1.0,3.0,Greenville,1984,733477.927573066
4362,4.0,3.0,Springfield,1979,828659.0140216937
3087,1.0,1.0,Riverside,1964,637602.5944507555
948,4.0,3.0,Greenville,1979,460149.7007474338
3965,1.0,1.0,Shelbyville,1963,668032.9740367583
3128,3.0,3.0,Springfield,1967,631210.1521682667
3392,4.0,2.0,Greenville,2020,914304.1646498971
3087,4.0,2.0,Shelbyville,1961,566676.7324018942
3035,3.0,3.0,,1988,566400.9089074837
998,5.0,2.0,Shelbyville,2012,414214.8689971615
3060,4.0,3.0,Springfield,2020,672562.6841759306
4097,2.0,2.0,Shelbyville,1965,696509.129939841
1937,4.0,3.0,Shelbyville,1966,509596.15256938775
3252,4.0,2.0,Riverside,1980,792155.4893897382
735,2.0,1.0,Greenville,1993,449858.0237278533
2128,4.0,3.0,Greenville,2021,785513.0461479566
2521,5.0,2.0,Greenville,1969,751632.1869286534
4924,5.0,2.0,Riverside,1966,1026661.9540139125
1544,4.0,1.0,Shelbyville,1972,465470.69461558765
1816,4.0,1.0,Shelbyville,2015,518696.1942801411
2397,2.0,2.0,Riverside,1957,573827.0905196628
4967,4.0,1.0,Shelbyville,1981,802699.3367503239
4354,2.0,3.0,,1963,945903.6328760178
752,3.0,3.0,Hill Valley,1965,462542.37315597193
1629,2.0,3.0,Greenville,2018,626847.8909443932
4215,2.0,3.0,Greenville,1955,999869.4591969603
856,1.0,2.0,Springfield,1977,333105.97222876764
4364,5.0,1.0,Hill Valley,2018,1033596.5718927097
1838,1.0,2.0,,1996,530198.7762504655
4637,1.0,2.0,Riverside,1959,911702.6413686667
1891,5.0,3.0,Springfield,1987,559677.9611834511
2510,3.0,1.0,Shelbyville,2021,521457.85414519504
3512,3.0,2.0,,1982,717553.8812164431
1155,4.0,2.0,Hill Valley,1991,612877.3394524626
3050,2.0,1.0,Shelbyville,1991,516390.40082021774
2822,1.0,1.0,Springfield,2000,588610.3757256994
4049,4.0,2.0,Greenville,1967,986434.2973414329
4982,1.0,1.0,Greenville,2012,1130092.0773255774
3522,3.0,1.0,Riverside,2023,811076.7241998358
2400,,2.0,Hill Valley,1964,740905.6432212739
2388,5.0,1.0,Greenville,2011,804545.1972952634
2439,2.0,2.0,Greenville,2011,741212.6335330454
4181,,1.0,Greenville,2006,1069871.5686524254
2013,4.0,1.0,Shelbyville,1980,416351.0631863397
1334,3.0,2.0,Hill Valley,1987,580213.5689374807
2070,1.0,,Riverside,2012,600701.8645567702
699,2.0,2.0,Shelbyville,1965,343725.30067235546
1067,4.0,3.0,Shelbyville,2012,384423.72765475436
996,5.0,2.0,Shelbyville,2018,396986.90355183993
3994,,2.0,Hill Valley,2002,906628.1488243432
3778,4.0,2.0,Riverside,1978,854758.8633198761
3665,5.0,3.0,Hill Valley,1993,941342.0576402997
2632,5.0,3.0,Riverside,1958,748365.454827899
3755,3.0,3.0,Riverside,2019,811543.3905409145
1309,1.0,3.0,Greenville,1978,563004.5721515192
4562,2.0,2.0,Shelbyville,1958,733418.4572987378
2804,,2.0,Greenville,2009,840826.5441662635
4727,5.0,3.0,Riverside,2000,983896.5429684533
1270,4.0,1.0,Greenville,1997,581191.4600513059
2788,1.0,2.0,Riverside,1958,581246.7644690688
3663,1.0,3.0,Hill Valley,2006,885851.8203371614
2780,3.0,2.0,,1998,661786.8249358103
2563,3.0,1.0,Greenville,2009,761983.7373785243
1331,1.0,2.0,Riverside,2012,470414.9348801624
2276,4.0,1.0,Riverside,1969,664026.1444188165
1650,3.0,,Shelbyville,1969,442440.3449295833
1926,1.0,3.0,Riverside,2018,551165.84316563
3608,1.0,,Springfield,1991,653961.9191208639
3373,3.0,,Riverside,1985,821906.48306264
3271,4.0,3.0,Greenville,1974,915998.9090754268
2191,5.0,3.0,Springfield,1999,587151.1005543051
4822,3.0,1.0,Riverside,2007,977386.6074010646
985,2.0,2.0,,1955,321184.6872824366
2107,5.0,2.0,Greenville,1993,739874.2260255462
1119,3.0,2.0,Hill Valley,2023,463655.52876913606
2091,2.0,1.0,Shelbyville,1974,479113.8939750637
4832,3.0,1.0,Riverside,1974,974888.647774738
2211,1.0,3.0,Shelbyville,2015,565818.5539872177
4597,2.0,1.0,Riverside,1959,880375.9333882708
2778,3.0,1.0,Hill Valley,1982,731770.137268781
3678,5.0,1.0,Greenville,1986,1018378.6310276919
2612,4.0,1.0,Hill Valley,2010,776291.6892087425
1769,4.0,1.0,Hill Valley,1963,572063.638452603
3962,3.0,2.0,Greenville,1984,991689.0228512035
4864,1.0,3.0,Riverside,1965,959519.9806924526
1759,2.0,1.0,Greenville,2009,622198.6760218247
4026,5.0,1.0,Shelbyville,1998,713249.5869204551
1749,1.0,1.0,Shelbyville,1989,405010.38791897794
3754,,2.0,Shelbyville,1982,661148.4287416986
4071,4.0,1.0,Springfield,1965,771073.7035560425
2577,2.0,,Greenville,2018,786170.620202655
3842,,2.0,Springfield,1999,760017.4176206834
1797,5.0,3.0,Hill Valley,1977,596998.4732824564
948,1.0,2.0,Shelbyville,1983,358535.9558855439
1024,1.0,2.0,Springfield,2005,388315.75113978406
2566,4.0,3.0,Hill Valley,2004,733169.5470689707
4571,5.0,2.0,Shelbyville,1986,792341.9865948581
1161,1.0,3.0,Shelbyville,1975,315689.91791654483
2605,4.0,3.0,Riverside,2000,682187.6961666628
3697,1.0,2.0,Springfield,2000,679755.6596092858
1490,4.0,3.0,Shelbyville,1996,497202.6243684045
3775,4.0,1.0,,1960,652314.8982733757
1946,1.0,3.0,Greenville,1987,658966.4097798627
4158,4.0,3.0,Shelbyville,1997,738130.5139141526
3148,5.0,3.0,Springfield,2020,730448.4268255562
3006,5.0,1.0,Hill Valley,1991,804858.1349356859
1377,1.0,3.0,Springfield,1978,445781.6980027823
2638,2.0,2.0,Shelbyville,1993,521235.65985344327
4369,2.0,1.0,Hill Valley,1967,901574.1524999267
685,,1.0,Shelbyville,1961,272591.529059091
3937,1.0,2.0,Greenville,2001,936663.6751817173
2768,5.0,1.0,Springfield,2023,617288.2008796585
3765,4.0,1.0,Springfield,2013,764206.3604703866
3518,5.0,2.0,Riverside,1995,830546.9550542576
2501,1.0,2.0,Hill Valley,1957,729288.196500793
1958,1.0,1.0,Springfield,2023,433428.562145886
3360,5.0,3.0,Shelbyville,1986,685658.995361294
1216,2.0,3.0,Riverside,1974,436951.40929482994
3170,4.0,2.0,Greenville,2016,875847.9597885197
1016,5.0,,Riverside,2006,515432.58420021634
3459,1.0,2.0,Greenville,2006,808628.8587537714
3366,1.0,1.0,Greenville,1974,844214.7835036408
971,1.0,1.0,Springfield,2023,424207.223868225
3932,1.0,3.0,Greenville,1986,943466.8510489422
2429,1.0,3.0,Hill Valley,1991,682344.2357041653
4062,5.0,3.0,Shelbyville,2006,796517.650793762
783,4.0,1.0,Riverside,2000,428951.3949991901
1389,,1.0,Shelbyville,1966,412311.1943440555
2773,5.0,1.0,Shelbyville,1975,517757.9078883474
1428,5.0,1.0,Shelbyville,1979,459109.7215818492
2051,2.0,1.0,Riverside,2020,580994.947708133
3506,2.0,2.0,Shelbyville,2004,607329.4844583551
1235,5.0,1.0,Greenville,1980,574647.9013083308
3581,2.0,3.0,Springfield,2005,696709.5892958145
1054,1.0,2.0,Riverside,2005,416207.2160665342
1370,4.0,1.0,Hill Valley,1982,559838.7346832613
3185,5.0,2.0,Springfield,1982,658198.5276602847
4091,5.0,3.0,Greenville,2016,1099429.4585822127
1350,5.0,1.0,Hill Valley,1993,519669.4151064479
1919,1.0,1.0,Springfield,1965,434898.9577493421
4670,4.0,1.0,Greenville,2004,1170938.3858219974
4954,5.0,3.0,Riverside,1995,1091380.6428492726
3156,4.0,1.0,Greenville,1990,867638.1197748632
2566,5.0,2.0,Riverside,2005,687524.0935349636
2126,5.0,2.0,Shelbyville,2017,529881.8307990032
3294,3.0,3.0,Springfield,1977,687378.2594375709
3200,1.0,1.0,Shelbyville,1983,565725.696970188
1896,3.0,3.0,Hill Valley,1968,617523.8721112211
700,2.0,3.0,Shelbyville,1999,337875.02457747445
1266,1.0,2.0,Shelbyville,1982,356978.7467088466
4817,1.0,1.0,Springfield,1978,765130.6379307996
2439,4.0,3.0,Shelbyville,2003,552394.677735175
2722,3.0,1.0,Greenville,1983,801558.7216196054
2655,3.0,,Shelbyville,1987,513399.97107346647
4044,4.0,,Shelbyville,1985,718653.3346538217
885,3.0,1.0,Greenville,1972,450657.38213687466
964,4.0,2.0,Riverside,1963,457900.5128819433
1813,1.0,,Springfield,2012,451551.00456799543
2741,5.0,1.0,Springfield,1961,667941.8099492401
3552,3.0,1.0,Riverside,1977,808377.4946257076
2759,1.0,1.0,Shelbyville,2001,484835.90502668364
2541,5.0,2.0,Greenville,1964,804746.840348411
4726,4.0,3.0,Greenville,2000,1121170.444312138
1308,1.0,,Riverside,2005,438310.108858674
3115,1.0,1.0,Greenville,2000,818064.5706032136
2985,1.0,1.0,Hill Valley,1976,712447.5774080959
2683,2.0,2.0,Shelbyville,1956,552365.6744896887
4153,1.0,1.0,Hill Valley,2016,897164.6981545981
1774,4.0,2.0,Hill Valley,1977,593431.6034222591
4796,3.0,1.0,Shelbyville,2010,768618.8731935567
2058,5.0,1.0,Greenville,1968,680160.8375493488
2998,4.0,2.0,Shelbyville,1966,633705.7466664343
2890,4.0,2.0,Riverside,2008,763313.8888083091
4339,3.0,2.0,Springfield,2019,868778.3186203621
2531,1.0,3.0,Greenville,2014,813539.3261169776
1852,1.0,2.0,,2006,446268.48904202983
695,4.0,3.0,Springfield,1972,391162.5738198187
2200,1.0,2.0,Shelbyville,2018,447063.990500697
4235,1.0,1.0,Hill Valley,2001,902621.822167552
643,2.0,1.0,Riverside,1966,344067.5246923299
4543,5.0,1.0,Shelbyville,1963,743615.3537758518
2988,3.0,2.0,Springfield,2015,622003.3818130476
1217,4.0,1.0,Riverside,1973,478151.4686443923
1929,3.0,3.0,Hill Valley,2007,606248.4474484078
3037,1.0,2.0,Riverside,1964,716493.808774129
1989,2.0,3.0,Hill Valley,1974,591367.3938774746
1077,1.0,3.0,Shelbyville,1974,435307.0691028918
3530,4.0,2.0,Springfield,1974,704608.4664710681
3557,1.0,1.0,Springfield,2001,669700.5292575116
1123,2.0,3.0,Shelbyville,2018,355019.76446601894
1837,5.0,1.0,Greenville,2017,735002.7527438292
1673,3.0,1.0,Greenville,2006,650215.0204240875
3501,3.0,3.0,Greenville,1968,924917.4761220834
3813,3.0,2.0,Greenville,2021,937375.923536613
3798,4.0,1.0,Hill Valley,1992,916670.0063317386
4730,2.0,2.0,Greenville,1992,1059807.0686194825
3982,4.0,2.0,Springfield,2003,829310.6579042008
2010,5.0,3.0,Hill Valley,2008,715625.8419555952
1074,3.0,3.0,Hill Valley,2020,523213.17115463206
3304,3.0,1.0,Springfield,1995,597388.7301025803
4630,1.0,1.0,Riverside,1997,887597.5206402291
4890,2.0,2.0,Hill Valley,2006,1077082.8339479961
1612,5.0,1.0,Hill Valley,1972,627836.5107516947
1640,3.0,1.0,Springfield,1976,495525.09434476396
764,2.0,1.0,Springfield,1998,301269.60993275634
1221,3.0,1.0,Greenville,1959,532206.5692043871
3041,3.0,3.0,Greenville,1977,876925.4564944879
3005,,1.0,Shelbyville,2004,538849.9330325327
2232,4.0,1.0,Greenville,2022,731032.8645388029
1963,2.0,3.0,Shelbyville,1990,481895.2719492537
4251,4.0,1.0,Riverside,1982,902267.0624545979
2624,3.0,3.0,Greenville,1985,727775.144337964
4156,5.0,1.0,Springfield,2002,802099.0566977882
4838,1.0,1.0,Greenville,1992,1070910.8370923493
1995,1.0,1.0,Springfield,1956,455407.8278635674
1492,3.0,3.0,Greenville,1992,588465.8572372479
4792,3.0,,Riverside,1982,967739.6354027559
3393,4.0,2.0,Springfield,2003,713568.8115295906
1880,3.0,1.0,Springfield,2015,521873.63814909133
3336,5.0,1.0,Greenville,2021,916327.1971143
2866,3.0,2.0,Shelbyville,1997,569870.5321489599
4584,1.0,1.0,Springfield,1980,784100.6211476338
1726,1.0,2.0,Greenville,1985,534032.5222231445
4962,5.0,3.0,Riverside,1967,1060391.0538167937
4718,1.0,3.0,Shelbyville,2019,771763.1070863112
1395,5.0,2.0,Greenville,2013,624490.8057979268
1324,2.0,1.0,Shelbyville,2013,418562.0292278339
2945,1.0,1.0,Riverside,1977,613615.5340985525
797,2.0,3.0,Springfield,1977,308324.9839042311
1914,4.0,2.0,Greenville,2014,697004.1153597056
2514,3.0,2.0,Hill Valley,1992,711536.4943461445
4865,4.0,2.0,Shelbyville,2003,827855.308295758
4966,4.0,1.0,Shelbyville,1988,801246.1877448267
1266,3.0,3.0,Shelbyville,1985,432690.61022719793
4523,4.0,3.0,Hill Valley,1998,1073779.1652897336
1000,5.0,3.0,Riverside,2011,525719.4688185458
3893,3.0,3.0,Greenville,1978,975405.1462478625
4320,1.0,1.0,Springfield,2010,699919.3183715679
4519,3.0,1.0,Greenville,1971,1079317.086241114
1583,5.0,1.0,Riverside,1982,592421.8599865278
4531,,3.0,Springfield,2017,852956.7523595194
1110,5.0,2.0,Riverside,2020,492260.7271789748
2882,3.0,2.0,Greenville,2018,847683.8318100327
2665,4.0,3.0,Riverside,1976,736365.8912388433
1990,2.0,2.0,Shelbyville,2013,521764.4874339726
697,5.0,3.0,Greenville,2019,500036.70227316127
3996,1.0,3.0,Shelbyville,2022,686916.3624636758
2076,2.0,1.0,Hill Valley,1956,622268.1615343037
3511,3.0,2.0,Springfield,2006,713992.3021431448
2404,3.0,3.0,Riverside,2023,643640.1719384617
2244,3.0,3.0,Hill Valley,2007,702438.4885508011
4499,1.0,1.0,Greenville,1971,1034399.849014455
1015,2.0,1.0,Riverside,2007,436138.88688993006
3841,1.0,2.0,Greenville,1962,926297.5478153983
3885,3.0,3.0,Shelbyville,1988,694438.8229494281
2271,2.0,1.0,Riverside,1998,649638.3680714818
1754,3.0,2.0,Springfield,1986,465409.2344886197
623,3.0,1.0,Riverside,2003,377200.3771170866
4721,4.0,1.0,Shelbyville,1971,780839.5654058257
4770,3.0,2.0,Hill Valley,1996,1078318.6208310267
1660,4.0,2.0,Shelbyville,1999,423478.8048971639
740,3.0,2.0,Shelbyville,1998,309441.0975070368
1140,4.0,1.0,Springfield,1974,358218.14476795844
897,4.0,3.0,Riverside,1976,464010.8567575981
4256,2.0,1.0,Springfield,1972,722820.8254838036
4524,2.0,3.0,Springfield,1986,807293.4966994625
1274,4.0,1.0,Shelbyville,1995,431981.34569675126
3885,2.0,3.0,Shelbyville,1980,661353.7183765146
1388,3.0,2.0,,1983,454098.4606823009
2215,1.0,2.0,Hill Valley,1974,613819.8627674483
3237,3.0,,Greenville,1970,870833.4294528931
3767,3.0,3.0,Springfield,2000,766543.8420204403
4448,4.0,1.0,Shelbyville,2011,747721.9891147617
797,3.0,2.0,Shelbyville,1975,339610.4473979864
1464,2.0,3.0,Greenville,2014,624102.3019316149
1834,5.0,3.0,Hill Valley,1994,670451.3061076229
1965,3.0,3.0,Riverside,1966,548141.1382674661
4991,5.0,1.0,Hill Valley,1980,1121568.5418351414
4020,4.0,3.0,Greenville,1955,978661.6813269128
2009,3.0,3.0,Shelbyville,1957,524265.3920988302
4876,5.0,1.0,Springfield,1978,918192.9651952308
2796,1.0,1.0,Springfield,1986,578166.5642775521
2803,5.0,3.0,Shelbyville,2010,633796.9853030858
2508,5.0,1.0,Riverside,1964,670899.0323191774
1233,3.0,2.0,Riverside,2012,516625.71854200086
4711,4.0,1.0,Hill Valley,1971,1026726.6549161382
661,3.0,1.0,Springfield,1964,346437.0961191968
1366,2.0,3.0,Greenville,2003,598318.0309955835
1610,4.0,1.0,Riverside,2008,536395.8036942324
1828,2.0,3.0,Springfield,1996,481324.21780027915
1180,2.0,3.0,Shelbyville,1962,339119.03557826625
679,3.0,1.0,Springfield,1962,308695.81761621486
3581,5.0,1.0,Springfield,1981,678568.140656755
4864,2.0,3.0,Hill Valley,1986,1077444.863670466
1136,3.0,2.0,Shelbyville,2023,457827.4362624831
1904,1.0,1.0,Springfield,1974,499789.86830410914
2827,1.0,3.0,Hill Valley,1968,675117.4653412045
4681,1.0,1.0,Greenville,2020,1089955.640146686
3654,1.0,1.0,Shelbyville,1965,649103.1904977066
3971,5.0,3.0,Springfield,1956,779265.7005778401
3156,5.0,1.0,Shelbyville,1984,635253.4229195014
2434,5.0,2.0,Hill Valley,1982,671013.2084758598
1479,1.0,3.0,Shelbyville,1997,413592.0850392993
4402,1.0,,Riverside,2015,873373.2081169585
4138,2.0,2.0,Shelbyville,2019,719969.0505373455
710,3.0,2.0,Hill Valley,1974,386213.9123343336
3747,2.0,1.0,Springfield,2022,734075.7467343279
971,3.0,2.0,Shelbyville,1998,404895.38026280067
3851,1.0,,Hill Valley,1959,849954.604148545
4234,4.0,1.0,Riverside,2019,891452.322557687
1176,2.0,3.0,Greenville,1964,459529.3087235006
2508,1.0,2.0,Riverside,1995,623127.5939777447
1144,4.0,2.0,Greenville,2009,545892.1819715519
3096,5.0,1.0,Shelbyville,1972,573679.4176295584
4681,1.0,2.0,Shelbyville,1973,748600.5626893651
955,3.0,1.0,Riverside,1987,420600.8885440605
2349,5.0,1.0,Shelbyville,2016,525567.921240643
4881,4.0,3.0,Greenville,1970,1139072.8278307866
1924,5.0,1.0,Hill Valley,2000,682989.1361678884
1181,3.0,2.0,Hill Valley,1986,527188.1083126566
2749,,2.0,Greenville,1962,759089.2181550453
2836,4.0,1.0,Greenville,2004,838383.1505539456
3516,1.0,1.0,Greenville,2012,843382.6413083979
1980,2.0,2.0,Shelbyville,1994,466321.10302181094
4804,4.0,2.0,Riverside,1967,998379.6699145942
2892,4.0,3.0,Riverside,1965,723284.9047450382
1860,1.0,,Riverside,1984,560513.7500787225
4825,3.0,1.0,Springfield,1989,826886.9963606665
4669,2.0,1.0,Riverside,1993,954054.6212332835
2796,3.0,,Springfield,1971,615275.7631459387
709,5.0,2.0,Springfield,1989,316865.20357908803
3226,1.0,1.0,Hill Valley,1975,798609.1711053036
3042,5.0,1.0,Springfield,2002,586761.0230394173
1252,3.0,3.0,Greenville,2009,556138.5292333162
3389,4.0,3.0,Hill Valley,2000,907360.4410277327
4299,3.0,3.0,Hill Valley,1955,965331.3982424268
1065,2.0,,Greenville,2023,465014.4205259137
3782,4.0,2.0,Springfield,1956,707477.8881484999
1217,4.0,2.0,Shelbyville,2023,461277.1723896186
3894,1.0,1.0,Shelbyville,1957,571594.8640835409
2444,4.0,,Hill Valley,1990,752219.7330288605
628,4.0,2.0,Springfield,1962,362856.93702873134
4851,2.0,2.0,Springfield,1961,799048.140086727
1330,5.0,3.0,Riverside,2002,535856.5478309193
3222,4.0,3.0,Springfield,2005,676623.2697669507
1398,2.0,2.0,Shelbyville,1963,413366.75602575584
4705,1.0,3.0,Riverside,2022,984822.8342928851
3848,4.0,3.0,Riverside,1977,825045.1659837186
4139,,2.0,Shelbyville,1976,682632.23644442
2501,4.0,1.0,Shelbyville,1975,512214.4301296717
2656,3.0,,Riverside,1986,734595.2990537811
3390,3.0,3.0,Riverside,1967,749497.0264562074
4052,1.0,3.0,Greenville,1984,1023496.8731405505
4326,4.0,1.0,Hill Valley,1969,978201.1578144919
678,1.0,,Shelbyville,1958,253071.96780859737
3519,3.0,3.0,Shelbyville,1980,638021.7744797217
1080,5.0,2.0,Shelbyville,2001,399451.4347769465
1866,5.0,3.0,Springfield,2007,525081.4479395348
4249,5.0,1.0,Riverside,1979,930504.8057919113
1702,5.0,1.0,Greenville,1977,607382.5334792447
4105,3.0,3.0,Springfield,2009,731489.0137378543
2637,,2.0,Riverside,2002,658939.7058745548
1623,5.0,2.0,,2012,470324.3141074635
2070,5.0,2.0,Shelbyville,2017,517035.1739579744
2935,5.0,2.0,Springfield,2011,654126.9133418993
3966,4.0,3.0,Springfield,2019,776583.5178392256
3266,1.0,1.0,Springfield,1983,684548.8930477046
4706,3.0,3.0,Springfield,1982,858562.3470150871
4418,3.0,3.0,Greenville,1977,1074141.13026986
3914,5.0,2.0,Riverside,1971,835868.0511097312
3253,2.0,2.0,,2006,591161.1059908924
1875,2.0,1.0,Riverside,2004,559009.0788982454
2415,1.0,3.0,Greenville,2010,694414.1326126098
1123,5.0,2.0,Hill Valley,1966,554641.8853055396
2246,4.0,,,1988,639669.1024229691
4676,1.0,2.0,Hill Valley,1970,981559.0159240448
2473,,3.0,Riverside,2016,666088.4508007333
1100,3.0,1.0,Greenville,1973,515029.61978145747
3468,3.0,1.0,Shelbyville,1964,602315.2978443372
4835,5.0,3.0,Shelbyville,1994,837273.1911878719
4416,1.0,1.0,Hill Valley,2015,952316.0972466604
1805,2.0,3.0,Hill Valley,2018,589068.367278261
2597,1.0,3.0,Shelbyville,1961,526922.8160549133
2936,2.0,3.0,Hill Valley,1977,769451.6512451228
1690,5.0,3.0,Shelbyville,1965,483741.58164240496
1782,5.0,1.0,Springfield,1976,502376.24999614124
1641,1.0,1.0,Riverside,1991,519836.32091559994
4976,,2.0,Springfield,1974,884594.9726855746
3882,2.0,2.0,Springfield,1959,708439.0813652219
